Series_Title,genre
The Bourne Ultimatum,"action, Mystery, thriller"
Bin-jip,"crime, drama, romance"
Sin City,"crime, thriller"
Le scaphandre et le papillon,"biography, drama"
G.O.R.A.,"adventure, comedy, sci-fi"
Ratatouille,"animation, adventure, comedy"
Casino Royale,"action, adventure, thriller"
Kill Bill: Vol. 2,"action, crime, thriller"
Vozvrashchenie,drama
Bom Yeoareum Gaeul Gyeoul Geurigo Bom,"drama, romance"
Mar adentro,"biography, drama"
Cinderella Man,"biography, drama, history"
Kal Ho Naa Ho,"comedy, drama, musical"
Mou gaan dou,"action, crime, drama"
Pirates of the Caribbean: The Curse of the Black Pearl,"action, adventure, fantasy"
Big Fish,"adventure, drama, fantasy"
The Incredibles,"animation, action, adventure"
Yeopgijeogin geunyeo,"comedy, drama, romance"
Dogville,"crime, drama"
Vizontele,"comedy, drama"
Donnie Darko,"drama, Mystery, sci-fi"
Magnolia,drama
Dancer in the Dark,"crime, drama, musical"
The Straight Story,"biography, drama"
PÃ¢fekuto burÃ»,"animation, crime, Mystery"
Festen,drama
Central do Brasil,drama
The Iron Giant,"animation, action, adventure"
Knockin' on Heaven's Door,"action, crime, comedy"
Sling Blade,drama
Secrets & Lies,"comedy, drama"
Twelve Monkeys,"Mystery, sci-fi, thriller"
KÃ´kaku KidÃ´tai,"animation, action, crime"
The Nightmare Before Christmas,"animation, family, fantasy"
Groundhog Day,"comedy, fantasy, romance"
Bound by Honor,"crime, drama"
Scent of a Woman,drama
Aladdin,"animation, adventure, comedy"
JFK,"drama, history, thriller"
Beauty and the Beast,"animation, family, fantasy"
Dances with Wolves,"adventure, drama, western"
Do the Right Thing,"comedy, drama"
Rain Man,drama
Akira,"animation, action, sci-fi"
The Princess Bride,"adventure, family, fantasy"
Der Himmel Ã¼ber Berlin,"drama, fantasy, romance"
Au revoir les enfants,"drama, war"
TenkÃ» no shiro Rapyuta,"animation, adventure, drama"
The Terminator,"action, sci-fi"
Gandhi,"biography, drama, history"
Kagemusha,"drama, history, war"
Being There,"comedy, drama"
Annie Hall,"comedy, romance"
Jaws,"adventure, thriller"
Dog Day Afternoon,"biography, crime, drama"
Young Frankenstein,comedy
Papillon,"biography, crime, drama"
The Exorcist,horror
Sleuth,"Mystery, thriller"
The Last Picture Show,"drama, romance"
Fiddler on the Roof,"drama, family, musical"
Il conformista,drama
Butch Cassidy and the Sundance Kid,"biography, crime, drama"
Rosemary's Baby,"drama, horror"
Planet of the Apes,"adventure, sci-fi"
The Graduate,"comedy, drama, romance"
Who's Afraid of Virginia Woolf?,drama
The Sound of music,"biography, drama, family"
Doctor Zhivago,"drama, romance, war"
Per un pugno di dollari,"action, drama, western"
8Â½,drama
Vivre sa vie: Film en douze tableaux,drama
The Hustler,"drama, Sport"
La dolce vita,"comedy, drama"
Rio Bravo,"action, drama, western"
Anatomy of a Murder,"crime, drama, Mystery"
Touch of Evil,"crime, drama, film-noir"
Cat on a Hot Tin Roof,drama
Sweet Smell of Success,"drama, film-noir"
The Killing,"crime, drama, film-noir"
The Night of the Hunter,"crime, drama, film-noir"
La Strada,drama
Les diaboliques,"crime, drama, horror"
Stalag 17,"comedy, drama, war"
Roman Holiday,"comedy, romance"
A Streetcar Named Desire,drama
In a Lonely Place,"drama, film-noir, Mystery"
Kind Hearts and Coronets,"comedy, crime"
Rope,"crime, drama, Mystery"
Out of the Past,"crime, drama, film-noir"
Brief Encounter,"drama, romance"
Laura,"drama, film-noir, Mystery"
The Best Years of Our Lives,"drama, romance, war"
Arsenic and Old Lace,"comedy, crime, thriller"
The Maltese Falcon,"film-noir, Mystery"
The Grapes of Wrath,"drama, history"
The Wizard of Oz,"adventure, family, fantasy"
La rÃ¨gle du jeu,"comedy, drama"
The Thin Man,"comedy, crime, Mystery"
All Quiet on the western Front,"drama, war"
Bronenosets Potemkin,"drama, history, thriller"
Knives Out,"comedy, crime, drama"
Dil Bechara,"comedy, drama, romance"
Manbiki kazoku,"crime, drama"
Marriage Story,"comedy, drama, romance"
Call Me by Your Name,"drama, romance"
"I, Daniel Blake",drama
Isle of Dogs,"animation, adventure, comedy"
Hunt for the Wilderpeople,"adventure, comedy, drama"
Captain Fantastic,"comedy, drama"
Sing Street,"comedy, drama, music"
Thor: Ragnarok,"action, adventure, comedy"
Nightcrawler,"crime, drama, thriller"
Jojo Rabbit,"comedy, drama, war"
Arrival,"drama, sci-fi"
Star wars: Episode VII - The Force Awakens,"action, adventure, sci-fi"
Before Midnight,"drama, romance"
X-Men: Days of Future Past,"action, adventure, sci-fi"
Bir Zamanlar Anadolu'da,"crime, drama"
The Artist,"comedy, drama, romance"
Edge of Tomorrow,"action, adventure, sci-fi"
Amour,"drama, romance"
The Irishman,"biography, crime, drama"
Un prophÃ¨te,"crime, drama"
Moon,"drama, Mystery, sci-fi"
LÃ¥t den rÃ¤tte komma in,"crime, drama, fantasy"
District 9,"action, sci-fi, thriller"
The Wrestler,"drama, Sport"
Jab We Met,"comedy, drama, romance"
Boyhood,drama
"4 luni, 3 saptamÃ¢ni si 2 zile",drama
Star Trek,"action, adventure, sci-fi"
In Bruges,"comedy, crime, drama"
The Man from Earth,"drama, fantasy, Mystery"
Letters from Iwo Jima,"action, adventure, drama"
The Fall,"adventure, drama, fantasy"
Life of Pi,"adventure, drama, fantasy"
Fantastic Mr. Fox,"animation, adventure, comedy"
C.R.A.Z.Y.,"comedy, drama"
Les choristes,"drama, music"
Iron Man,"action, adventure, sci-fi"
Shaun of the Dead,"comedy, horror"
Gegen die Wand,"drama, romance"
Mystic River,"crime, drama, Mystery"
Harry Potter and the Prisoner of Azkaban,"adventure, family, fantasy"
Ying xiong,"action, adventure, history"
Hable con ella,"drama, Mystery, romance"
No Man's Land,"comedy, drama, war"
Cowboy Bebop: Tengoku no tobira,"animation, action, crime"
The Bourne Identity,"action, Mystery, thriller"
Nueve reinas,"crime, drama, thriller"
Children of Men,"adventure, drama, sci-fi"
Almost Famous,"adventure, comedy, drama"
Mulholland Dr.,"drama, Mystery, thriller"
Toy Story 2,"animation, adventure, comedy"
Boogie Nights,drama
Mimi wo sumaseba,"animation, drama, family"
Once Were warriors,"crime, drama"
True romance,"crime, drama, romance"
Trois couleurs: Bleu,"drama, music, Mystery"
JÃ»bÃª ninpÃ»chÃ´,"animation, action, adventure"
Carlito's Way,"crime, drama, thriller"
Edward Scissorhands,"drama, fantasy, romance"
My Left Foot: The Story of Christy Brown,"biography, drama"
crimes and Misdemeanors,"comedy, drama"
The Untouchables,"crime, drama, thriller"
Hannah and Her Sisters,"comedy, drama"
Brazil,"drama, sci-fi"
This Is Spinal Tap,"comedy, music"
A Christmas Story,"comedy, family"
The Blues Brothers,"action, adventure, comedy"
Manhattan,"comedy, drama, romance"
All That Jazz,"drama, music, musical"
Dawn of the Dead,"action, adventure, horror"
All the President's Men,"biography, drama, history"
La montaÃ±a sagrada,"adventure, drama, fantasy"
Amarcord,"comedy, drama, family"
Le charme discret de la bourgeoisie,comedy
"Aguirre, der Zorn Gottes","action, adventure, biography"
Harold and Maude,"comedy, drama, romance"
Patton,"biography, drama, war"
The Wild Bunch,"action, adventure, western"
Night of the Living Dead,"horror, thriller"
The Lion in Winter,"biography, drama, history"
In the Heat of the Night,"crime, drama, Mystery"
Charade,"comedy, Mystery, romance"
The Manchurian Candidate,"drama, thriller"
Spartacus,"adventure, biography, drama"
L'avventura,"drama, Mystery"
Hiroshima mon amour,"drama, romance"
The Ten Commandments,"adventure, drama"
The Searchers,"adventure, drama, western"
East of Eden,drama
High Noon,"drama, thriller, western"
Strangers on a Train,"crime, film-noir, thriller"
Harvey,"comedy, drama, fantasy"
Miracle on 34th Street,"comedy, drama, family"
Notorious,"drama, film-noir, romance"
The Big Sleep,"crime, film-noir, Mystery"
The Lost Weekend,"drama, film-noir"
The Philadelphia Story,"comedy, romance"
His Girl Friday,"comedy, drama, romance"
The adventures of Robin Hood,"action, adventure, romance"
A Night at the Opera,"comedy, music, musical"
King Kong,"adventure, horror, sci-fi"
Freaks,"drama, horror"
Nosferatu,"fantasy, horror"
The Gentlemen,"action, comedy, crime"
Raazi,"action, drama, thriller"
Sound of Metal,"drama, music"
Forushande,drama
Dunkirk,"action, drama, history"
Perfetti sconosciuti,"comedy, drama"
Hidden Figures,"biography, drama, history"
Paddington 2,"adventure, comedy, family"
Udta Punjab,"action, crime, drama"
Kubo and the Two Strings,"animation, action, adventure"
M.S. Dhoni: The Untold Story,"biography, drama, Sport"
Manchester by the Sea,drama
Under sandet,"drama, history, war"
Rogue One,"action, adventure, sci-fi"
Captain America: Civil war,"action, adventure, sci-fi"
The Hateful Eight,"crime, drama, Mystery"
Little Women,"drama, romance"
Loving Vincent,"animation, biography, crime"
Pride,"biography, comedy, drama"
Le passÃ©,"drama, Mystery"
La grande bellezza,drama
The Lunchbox,"drama, romance"
Vicky Donor,"comedy, romance"
Big Hero 6,"animation, action, adventure"
About Time,"comedy, drama, fantasy"
English Vinglish,"comedy, drama, family"
Kaze tachinu,"animation, biography, drama"
Toy Story 4,"animation, adventure, comedy"
La migliore offerta,"crime, drama, Mystery"
Moonrise Kingdom,"comedy, drama, romance"
How to Train Your Dragon 2,"animation, action, adventure"
The Big Short,"biography, comedy, drama"
Kokuhaku,"drama, thriller"
Ang-ma-reul bo-at-da,"action, crime, drama"
The Girl with the Dragon Tattoo,"crime, drama, Mystery"
Captain Phillips,"adventure, biography, crime"
Ajeossi,"action, crime, drama"
Straight Outta Compton,"biography, drama, history"
Madeo,"crime, drama, Mystery"
Chugyeokja,"action, crime, thriller"
The Hobbit: The Desolation of Smaug,"adventure, fantasy"
Das weiÃŸe Band - Eine deutsche Kindergeschichte,"drama, history, Mystery"
MÃ¤n som hatar kvinnor,"crime, drama, Mystery"
The Trial of the Chicago 7,"drama, history, thriller"
Druk,"comedy, drama"
The Fighter,"biography, drama, Sport"
Taken,"action, thriller"
The Boy in the Striped Pyjamas,"drama, history, war"
Once,"drama, music, romance"
The Hobbit: An Unexpected Journey,"adventure, fantasy"
Auf der anderen Seite,drama
Atonement,"drama, Mystery, romance"
Drive,"crime, drama"
American Gangster,"biography, crime, drama"
Avatar,"action, adventure, fantasy"
Mr. Nobody,"drama, fantasy, romance"
Apocalypto,"action, adventure, drama"
Little Miss Sunshine,"comedy, drama"
Hot Fuzz,"action, comedy, Mystery"
The Curious Case of Benjamin Button,"drama, fantasy, romance"
Veer-Zaara,"drama, family, musical"
Adams Ã¦bler,"comedy, crime, drama"
Pride & Prejudice,"drama, romance"
The World's Fastest Indian,"biography, drama, Sport"
TÃ´kyÃ´ goddofÃ¢zÃ¢zu,"animation, adventure, comedy"
Serenity,"action, adventure, sci-fi"
Walk the Line,"biography, drama, music"
Ondskan,drama
The Notebook,"drama, romance"
Diarios de motocicleta,"adventure, biography, drama"
Lilja 4-ever,"crime, drama"
Les triplettes de Belleville,"animation, comedy, drama"
Gongdong gyeongbi guyeok JSA,"action, drama, thriller"
The Count of Monte Cristo,"action, adventure, drama"
Waking Life,"animation, drama, fantasy"
Remember the Titans,"biography, drama, Sport"
Wo hu cang long,"action, adventure, fantasy"
Todo sobre mi madre,drama
Cast Away,"adventure, drama, romance"
The Boondock Saints,"action, crime, thriller"
The Insider,"biography, drama, thriller"
October Sky,"biography, drama, family"
Shrek,"animation, adventure, comedy"
Titanic,"drama, romance"
Hana-bi,"crime, drama, romance"
Gattaca,"drama, sci-fi, thriller"
The Game,"action, drama, Mystery"
Breaking the Waves,drama
Ed Wood,"biography, comedy, drama"
What's Eating Gilbert Grape,drama
Tombstone,"action, biography, drama"
The Sandlot,"comedy, drama, family"
The Remains of the Day,"drama, romance"
Naked,"comedy, drama"
The Fugitive,"action, crime, drama"
A Bronx Tale,"crime, drama, romance"
Batman: Mask of the Phantasm,"animation, action, crime"
Lat sau san taam,"action, crime, thriller"
Night on Earth,"comedy, drama"
La double vie de VÃ©ronique,"drama, fantasy, music"
Boyz n the Hood,"crime, drama"
Misery,"drama, thriller"
Awakenings,"biography, drama"
Majo no takkyÃ»bin,"animation, adventure, drama"
Glory,"biography, drama, history"
Dip huet seung hung,"action, crime, drama"
Back to the Future Part II,"adventure, comedy, sci-fi"
Mississippi Burning,"crime, drama, history"
Predator,"action, adventure, sci-fi"
Evil Dead II,"action, comedy, fantasy"
Ferris Bueller's Day Off,comedy
Down by Law,"comedy, crime, drama"
The Goonies,"adventure, comedy, family"
The Color Purple,drama
The Breakfast Club,"comedy, drama"
The Killing Fields,"biography, drama, history"
Ghostbusters,"action, comedy, fantasy"
The Right Stuff,"adventure, biography, drama"
The King of comedy,"comedy, crime, drama"
E.T. the Extra-Terrestrial,"family, sci-fi"
Kramer vs. Kramer,drama
Days of Heaven,"drama, romance"
The Outlaw Josey Wales,western
The Man Who Would Be King,"adventure, history, war"
The Conversation,"drama, Mystery, thriller"
La planÃ¨te sauvage,"animation, sci-fi"
The Day of the Jackal,"crime, drama, thriller"
Badlands,"action, crime, drama"
Cabaret,"drama, music, musical"
Willy Wonka & the Chocolate Factory,"family, fantasy, musical"
Midnight Cowboy,drama
Wait Until Dark,thriller
Guess Who's Coming to Dinner,"comedy, drama"
Bonnie and Clyde,"action, biography, crime"
My Fair Lady,"drama, family, musical"
Mary Poppins,"comedy, family, fantasy"
The Longest Day,"action, drama, history"
Jules et Jim,"drama, romance"
The Innocents,horror
Ã€ bout de souffle,"crime, drama"
Red River,"action, adventure, drama"
Key Largo,"action, crime, drama"
To Have and Have Not,"adventure, comedy, film-noir"
Shadow of a Doubt,"film-noir, thriller"
Stagecoach,"adventure, drama, western"
The Lady Vanishes,"Mystery, thriller"
Bringing Up Baby,"comedy, family, romance"
Bride of Frankenstein,"drama, horror, sci-fi"
Duck Soup,"comedy, musical, war"
Scarface: The Shame of the Nation,"action, crime, drama"
Frankenstein,"drama, horror, sci-fi"
Roma,drama
